epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.916054759706769,6.92026375,0.094,0.4559999999332428
1,6.7846357481820245,6.91821125,0.09199999996662139,0.4379999995803833
2,6.576592854091099,6.91519875,0.0839999999666214,0.4619999998664856
3,6.398678234645298,6.91084,0.0879999999666214,0.5339999991607666
4,6.184681688036237,6.90600125,0.1020000001525879,0.5640000009155274
5,6.006244931902204,6.89981625,0.1300000005912781,0.6719999984741211
6,5.936578103474209,6.892285,0.1579999991607666,0.7859999987792968
7,5.801052093505859,6.8827675,0.1939999991607666,0.9280000018310547
8,5.620556695120675,6.86873125,0.23600000076293945,1.1660000051879882
9,5.616698367255075,6.85094875,0.29599999832153323,1.360000008239746
10,5.632112332752773,6.82759375,0.3639999997711182,1.6960000009155274
11,5.500615835189819,6.7935075,0.506000000076294,2.168000001525879
12,5.519830363137381,6.7465825,0.7319999993896484,2.908000005493164
13,5.538925988333566,6.68668625,0.9979999998474121,3.7420000064086913
14,5.319579294749668,6.61221875,1.3959999978637696,4.9100000094604495
15,5.457184587206159,6.5227275,1.9140000067138672,6.623999992675781
16,5.383651290621076,6.42225125,2.5960000021362304,8.656000005493164
17,5.290818589074271,6.31568375,3.488000008544922,10.83800001586914
18,5.225249324526105,6.20706375,4.396000001831054,13.314000075683595
19,5.407569885253906,6.09995,5.42200001159668,15.51399998046875
20,5.140888861247471,5.99662125,6.426000023803711,17.70200005737305
